חברה,numbers_company
מדיפאואר (אוברסיז) פאבליק קו. לימיטד,123830.00
סקייליין אינווסטמנטס אינק,1328683.00
"לייבפרסון, אינק",133861628.00
דה לסר גרופ לימיטד,1427976.00
נוסטרומו אנרגיה לימיטד,1522277.00
דה זראסאי גרופ לטד.,1744984.00
אקסטל לימיטד,1811308.00
לייטסטון אנטרפרייזס לימיטד,1838682.00
ספנסר אקויטי גרופ לימיטד,1838863.00
פלאזה סנטרס אן.וי.,33248324.00
בראק קפיטל פרופרטיז אן וי,34250659.00
"ארד בע""מ",510007800.00
"אבגול תעשיות 1953 בע""מ ",510119068.00
"פז חברת נפט בע""מ",510216054.00
"קבוצת גולף א.ק. בע""מ ",510289564.00
"בי.ג'י.איי. השקעות (1961) בע""מ",510291750.00
"קבוצת אשטרום בע""מ ",510381601.00
"מיי סייז, אינק.",510394637.00
"אפי נכסים בע""מ",510560188.00
"אלקטרה נדל""ן בע""מ",510607328.00
"אשדר חברה לבניה בע""מ ",510609761.00
"פרידנזון שרותים לוגיסטים בע""מ",510712466.00
"רוטקס (1980) בע""מ",510844913.00
"תיגבור-מאגר כח אדם מקצועי זמני בע""מ ",510882830.00
"מיקרונט בע""מ ",510930787.00
"ארן מחקר ופתוח (1982) בע""מ",510959596.00
"קבוצת עזריאלי בע""מ",510960719.00
"אי.אל.די. אדוונסד לוגיסטיקס דוולופמנטס בע""מ",511029373.00
"אוריין ש.מ. בע""מ",511068256.00
"לוינשטין נכסים בע""מ ",511134298.00
"אלספק הנדסה בע""מ",511297541.00
"ב. יאיר חברה קבלנית לעבודות בניה 1988 בע""מ",511327017.00
"חלל-תקשורת בע""מ",511396046.00
"י.ח. דמרי בניה ופיתוח בע""מ",511399388.00
"סינאל מלל פייוויי בע""מ",511416612.00
"אלארום טכנולוגיות בע""מ",511418477.00
"מישורים השקעות נדל""ן בע""מ",511491839.00
"קמהדע בע""מ",511524605.00
"מיטרוניקס בע""מ",511527202.00
"איירפורט סיטי בע""מ",511659401.00
"נקסטקום בע""מ",511687568.00
"נטו מלינדה סחר בע""מ",511725459.00
"ברימאג דיגיטל אייג' בע""מ ",511786378.00
"טי. ג'י. איי תשתיות בע""מ",511870891.00
"פי.סי.בי. טכנולוגיות בע""מ",511888356.00
"קווליטאו בע""מ",511896540.00
